土地移轉總面積平方公尺,都市土地使用分區,交易年月,建物大於1,車位數,樓層比例,建物型態,是否透天,是否投資透天,主要用途,屋齡缺失,屋齡,建物移轉總面積平方公尺,是否毛胚,建物現況格局-房,有無管理組織,單價,總價元,車位類別,車位總價元,特殊交易,電梯,latitude,longitude,與竹科距離_km,mean_price_per_unit,high_price_decorated
5.22,商,11308,0,0,0.9,華廈,0,0,辦公用,0,16.3,33.2,0,1,1,143072.2892,4750000,無,0,0,1,24.8088431,120.961767,5.390059109,118681.0223,1
5.26,商,11308,0,0,0.3,華廈,0,0,辦公用,0,16.3,33.45,0,1,1,141106.1286,4720000,無,0,0,1,24.8088431,120.961767,5.390059109,118681.0223,1
4.37,商,11309,0,0,0.714285714,華廈,0,0,住家用,0,31.3,33.47,0,1,1,125485.5094,4200000,無,0,0,1,24.813567,120.9786294,4.489538028,121488.5678,0
16.23,非,11308,0,0,0.4,公寓,0,0,住家用,0,27.1,33.88,0,1,1,47225.50177,1600000,無,0,0,0,24.8138287,120.9674798,5.278347115,112453.7369,0
3.58,住,11308,0,0,0.428571429,大樓,0,0,住家用,0,27.6,34.82,0,1,1,104824.8133,3650000,無,0,0,1,24.8151621,120.9615308,5.829047253,93507.76805,0
6.53,住,11309,0,0,0.714285714,華廈,0,0,辦公用,0,15.8,35.2,0,1,1,136363.6364,4800000,無,0,0,1,24.8210412,120.9746832,5.391177825,103448.8681,1
3.07,商,11307,0,0,0.333333333,大樓,0,0,住家用,0,28.2,35.37,0,1,1,96126.66101,3400000,無,0,0,1,24.8005005,120.9610051,5.002806044,124087.4153,0
3.73,住,11310,0,0,0.571428571,大樓,0,0,住家用,0,27.8,36.25,0,1,1,117517.2414,4260000,無,0,0,1,24.8151621,120.9615308,5.829047253,93507.76805,1
4.48,工,11310,0,0,0.692307692,大樓,0,0,辦公用,0,16.1,36.34,0,1,1,214639.5157,7800000,無,0,0,1,24.7849631,121.0179678,1.271015931,163788.6725,1
5.6,商,11308,0,0,0.4,華廈,0,0,住家用,0,11.7,37.22,0,1,1,134336.3783,5000000,無,0,0,1,24.801209,120.9670508,4.492194803,131262.8699,0
3.23,商,11311,0,0,0.666666667,大樓,0,0,商業用,0,33,37.41,0,1,1,66827.05159,2500000,無,0,0,1,24.7986584,120.9641043,4.633151763,116350.0211,0
4.17,商,11308,0,0,0.7,華廈,0,0,其他,0,33.4,38.92,0,1,1,82476.87564,3210000,無,0,0,1,24.8026247,120.969729,4.339124025,134645.0238,0
13.15,非,11309,0,0,0.857142857,華廈,0,0,住家用,0,30.6,39.13,0,1,1,79223.10248,3100000,無,0,0,1,24.7676102,120.9789249,3.142375919,81594.99134,0
13.15,非,11305,0,0,0.142857143,華廈,0,0,住家用,0,30.2,39.13,0,1,1,83823.15359,3280000,無,0,0,1,24.7676102,120.9789249,3.142375919,81594.99134,0
6.17,商,11308,0,0,0.8,華廈,0,0,辦公用,0,16.3,39.26,0,1,1,114620.4789,4500000,無,0,0,1,24.8088431,120.961767,5.390059109,118681.0223,0
10.56,住,11307,0,0,1,華廈,0,0,住家用,0,16.8,40.29,0,1,1,196574.8325,7920000,無,0,0,1,24.7971243,121.0025289,1.752347523,151849.8658,1
4.2,住,11308,0,0,1,大樓,0,0,住家用,0,27.6,41.38,0,1,1,108748.1875,4500000,無,0,0,1,24.8151621,120.9615308,5.829047253,93507.76805,1
7.11,住,11308,0,0,0.285714286,華廈,0,0,住家用,0,17.2,41.43,0,1,1,85686.70046,3550000,無,0,0,1,24.8179728,120.9606976,6.095240433,92386.50475,0
3.36,商,11309,0,0,0.25,大樓,0,0,住家用,0,27.2,41.45,0,1,1,96501.80941,4000000,無,0,0,1,24.8120644,120.9651157,5.33116796,115495.986,0
6.51,商,11309,0,0,1,華廈,0,0,辦公用,0,17.3,41.51,0,1,1,179474.8253,7450000,無,0,0,1,24.8018433,120.9616693,5.006631049,128592.9589,1
9.26,商,11309,0,0,1,華廈,0,0,住家用,0,29.2,41.59,1,0,1,64919.45179,2700000,無,0,0,1,24.8046184,120.9731783,4.179883711,149786.1067,0
10.21,住,11308,0,1,0.285714286,華廈,0,0,辦公用,0,17.3,41.64,0,1,1,154899.1354,6450000,坡道機械,0,0,1,24.7810009,121.0253938,1.967884631,158404.0898,0
5.91,商,11310,0,0,0.9,華廈,0,0,辦公用,0,16.1,41.84,0,1,1,157026.7686,6570000,無,0,0,1,24.7966845,120.9613474,4.808894255,113558.5059,1
9.54,住,11310,0,0,0.428571429,華廈,0,0,住家用,0,32.7,41.86,0,1,1,68800.76445,2880000,無,0,0,1,24.8231608,120.9735482,5.648822231,101571.4975,0
13.41,非,11311,0,0,0.125,華廈,0,0,住家用,0,27,42.8,0,1,1,16355.14019,700000,無,0,0,1,24.7554246,120.949961,6.362192164,49251.23886,0
13.41,非,11308,0,0,0.125,華廈,0,0,住家用,0,26.7,42.8,0,1,1,58411.21495,2500000,無,0,0,1,24.7550978,120.9502752,6.350595544,49251.23886,1
10.25,住,11308,0,0,1,公寓,0,0,住家用,0,28.1,42.85,0,1,1,96849.47491,4150000,無,0,0,0,24.8145174,120.9566556,6.174381723,91338.52666,0
7.3,住,11305,0,0,0.2,華廈,0,0,辦公用,0,15.3,42.9,0,2,1,132867.1329,5700000,無,0,0,1,24.8032033,120.9560009,5.58793444,96617.5988,1
5.89,商,11307,0,0,0.571428571,華廈,0,0,住家用,0,33.2,43.01,0,1,1,111601.953,4800000,無,0,0,1,24.812889,120.9788824,4.414674173,121461.6097,0
7.33,住,11307,0,0,0.8,華廈,0,0,辦公用,0,15.5,43.1,0,2,1,160092.8074,6900000,無,0,0,1,24.8032033,120.9560009,5.58793444,96617.5988,1
10.25,住,11309,0,0,0.4,華廈,0,0,住家用,0,28.2,43.34,0,1,1,104060.9137,4510000,無,0,0,1,24.8145174,120.9566556,6.174381723,91338.52666,0
4.36,商,11307,0,0,0.833333333,大樓,0,0,其他,0,33,43.49,0,1,1,86226.71879,3750000,無,0,0,1,24.7976564,120.9635547,4.64035224,114714.5319,0
9.11,住,11309,0,0,0.25,華廈,0,0,辦公用,0,16.9,43.58,0,1,1,121615.4199,5300000,無,0,0,1,24.808455,120.9809967,3.899169311,125942.8314,0
25.52,非,11308,0,0,1.1,透天厝,1,0,商業用,0,26.5,43.92,1,0,1,77413.47905,3400000,無,0,0,0,24.8729305,120.987232,10.29041905,77413.47905,0
