土地位置建物門牌(Geo),土地位置建物門牌,土地移轉總面積平方公尺,都市土地使用分區,交易年,交易月,交易筆棟數,建物大於1,車位數,移轉層次,總樓層數,建物型態,主要用途,建築完成年,建築完成月,屋齡缺失,屋齡,建物移轉總面積平方公尺,建物現況格局-房,建物現況格局-廳,建物現況格局-衛,有無管理組織,總價元,車位類別,車位移轉總面積平方公尺,車位總價元,特殊交易,電梯
台灣新竹市新竹市中華路四段７０５之５２號六樓,新竹市新竹市中華路四段７０５之５２號六樓,6.81,工,113,11,建物1車位0,0,0,六層,六層,華廈,住家用,96,6,0,17.5,28.61,1,0,1,有,1960000,,0,0,0,有
台灣新竹市新竹市建功路２６號１１樓之８,新竹市新竹市建功路２６號１１樓之８,3.16,住,113,7,建物1車位0,0,0,十一層,十二層,大樓,住家用,84,12,0,28.5,28.61,1,0,1,有,5500000,,0,0,0,有
台灣新竹市新竹市經國路一段３７９巷１０弄１７號６樓之７,新竹市新竹市經國路一段３７９巷１０弄１７號６樓之７,3.78,商,113,10,建物1車位0,0,0,六層,七層,華廈,住家用,82,6,0,31.4,28.89,1,1,1,有,3600000,,0,0,0,有
台灣新竹市新竹市中華路四段７０５之４５號六樓,新竹市新竹市中華路四段７０５之４５號六樓,6.81,工,113,10,建物1車位0,0,0,六層,六層,華廈,住家用,96,6,0,17.4,28.9,1,0,1,有,2150000,,0,0,0,有
台灣新竹市新竹市中華路四段７０５之４３號四樓,新竹市新竹市中華路四段７０５之４３號四樓,6.81,工,113,10,建物1車位0,0,0,四層,六層,華廈,住家用,96,6,0,17.4,28.9,1,1,1,有,2250000,,0,0,0,有
台灣新竹市新竹市至善街３７巷４２號二樓,新竹市新竹市至善街３７巷４２號二樓,13.83,非,113,10,建物1車位0,0,0,二層,五層,公寓,住家用,86,7,0,27.3,29.33,1,1,1,有,1500000,,0,0,0,無
台灣新竹市新竹市至街３７巷２０號地下室,新竹市新竹市至街３７巷２０號地下室,13.83,非,113,10,建物1車位0,0,0,地下一層,五層,公寓,住家用,86,7,0,27.3,29.33,1,0,1,有,1300000,,0,0,0,無
台灣新竹市新竹市至街３７巷１６號三樓,新竹市新竹市至街３７巷１６號三樓,13.83,非,113,8,建物1車位0,0,0,三層,五層,公寓,住家用,86,7,0,27.1,29.33,1,1,1,有,1480000,,0,0,0,無
台灣新竹市新竹市金山六街８巷３２號五樓之１,新竹市新竹市金山六街８巷３２號五樓之１,10.14,住,113,10,建物1車位0,0,0,五層,五層,華廈,住家用,94,5,0,19.5,29.6,1,1,1,有,5700000,,0,0,0,有
台灣新竹市新竹市香北路２２５巷８６號四樓之３,新竹市新竹市香北路２２５巷８６號四樓之３,4.98,住,113,10,建物1車位0,0,0,四層,八層,華廈,住家用,94,3,0,19.7,29.73,1,0,1,有,2650000,,0,0,0,有
台灣新竹市新竹市香北一路１９１巷１號四樓之７,新竹市新竹市香北一路１９１巷１號四樓之７,7.82,住,113,3,建物1車位0,0,0,四層,五層,華廈,住家用,95,7,0,17.6,29.81,1,1,1,無,2770000,,0,0,0,有
台灣新竹市新竹市長安街４３號五樓之１,新竹市新竹市長安街４３號五樓之１,6.46,商,113,8,建物1車位0,0,0,五層,五層,華廈,住家用,95,6,0,18.2,30.43,1,1,1,有,3880000,,0,0,0,有
台灣新竹市新竹市至善街３７巷４８號四樓,新竹市新竹市至善街３７巷４８號四樓,13.83,非,113,9,建物1車位0,0,0,四層,五層,公寓,住家用,86,7,0,27.2,30.47,1,1,1,有,1800000,,0,0,0,無
台灣新竹市新竹市竹光路８號１２樓之１０,新竹市新竹市竹光路８號１２樓之１０,3.27,住,113,8,建物1車位0,0,0,十二層,十四層,大樓,住家用,86,2,0,27.6,30.76,1,0,1,有,3400000,,0,0,1,有
台灣新竹市新竹市金山北二街８７號三樓之８,新竹市新竹市金山北二街８７號三樓之８,6.77,住,113,7,建物1車位0,0,0,三層,六層,華廈,住家用,95,2,0,18.5,31.11,1,1,1,有,6150000,,0,0,0,有
台灣新竹市新竹市香北一路１９１巷１號二樓之１,新竹市新竹市香北一路１９１巷１號二樓之１,8.62,住,113,9,建物1車位0,0,0,二層,五層,華廈,住家用,95,7,0,18.2,31.44,1,1,1,有,2800000,,0,0,0,有
